Model,Dataset,AUC,PR_AUC,F1
Logistic Regression,Synthea (internal test),0.8557400551571064,0.8849573646600436,0.7751937984496124
Logistic Regression,MIMIC-IV ICU (external),0.6212797619047619,0.9086602335501918,0.547008547008547
Random Forest,Synthea (internal test),0.861185773986357,0.8717849275049068,0.8169432747089423
Random Forest,MIMIC-IV ICU (external),0.5621279761904762,0.8707258185672992,0.6031746031746031
XGBoost,Synthea (internal test),0.8827539286611427,0.9001256805165505,0.8279313632030506
XGBoost,MIMIC-IV ICU (external),0.6183035714285714,0.9101541299429479,0.6511627906976745
